Combo,N_Rays,PrionMeV,SteelMeV,SurfCore,Selectivity,Score
neutron + alpha,2,11569.9485,3193.1541,0.276,3.623361,40456.2202
gamma + neutron + alpha,3,11616.5803,200880.5575,17.2926,0.057828,671.3788
gamma + alpha,2,11511.4441,197687.4034,17.1731,0.058231,669.9275
neutron + carbon + alpha,3,189815.6925,63012250.4538,331.9654,0.003012,571.7763
carbon + alpha,2,189710.5563,63009057.2997,332.1326,0.003011,571.172
gamma + neutron + carbon + alpha,4,189862.3243,63209937.8572,332.9251,0.003004,570.2682
gamma + carbon + alpha,3,189757.1881,63206744.7031,333.0928,0.003002,569.6656
neutron + carbon,2,178350.8802,63012250.4538,353.305,0.00283,504.7929
gamma + neutron + carbon,3,178397.512,63209937.8572,354.3207,0.002822,503.4774
gamma + carbon,2,178292.3758,63206744.7031,354.5118,0.002821,502.9095
gamma + neutron,2,151.768,200880.5575,1323.6027,0.000756,0.1147
