order,rays,n_rays,mean_score,std_score,cv_pct,min_score,max_score
gamma → neutron → carbon,"['gamma', 'neutron', 'carbon']",3,974.0433,30.914,3.17,925.2541,1038.9266
carbon → gamma → neutron,"['carbon', 'gamma', 'neutron']",3,950.1855,30.4897,3.21,883.8408,1016.4368
alpha → neutron → carbon,"['alpha', 'neutron', 'carbon']",3,919.7759,28.3615,3.08,863.9235,989.5293
gamma → carbon → neutron,"['gamma', 'carbon', 'neutron']",3,909.408,32.7236,3.6,838.0555,969.642
alpha → carbon → neutron,"['alpha', 'carbon', 'neutron']",3,893.3209,27.5554,3.08,838.7894,947.533
carbon → alpha → neutron,"['carbon', 'alpha', 'neutron']",3,890.304,33.0039,3.71,824.4428,979.7963
carbon → neutron → gamma,"['carbon', 'neutron', 'gamma']",3,871.2863,30.6848,3.52,801.9477,945.6056
carbon → neutron,"['carbon', 'neutron']",2,864.2925,26.3453,3.05,815.2818,911.9487
carbon → neutron → alpha,"['carbon', 'neutron', 'alpha']",3,860.7371,20.9362,2.43,825.7137,913.7014
neutron → gamma → carbon,"['neutron', 'gamma', 'carbon']",3,842.5984,25.0549,2.97,759.1522,880.8382
neutron → carbon → gamma,"['neutron', 'carbon', 'gamma']",3,836.6175,23.5955,2.82,796.0186,891.9753
neutron → carbon,"['neutron', 'carbon']",2,825.707,21.5752,2.61,784.9798,880.8251
neutron → alpha → carbon,"['neutron', 'alpha', 'carbon']",3,824.3812,20.6866,2.51,765.096,853.11
neutron → carbon → alpha,"['neutron', 'carbon', 'alpha']",3,821.9766,26.1703,3.18,774.7953,875.5282
alpha → carbon,"['alpha', 'carbon']",2,237.1978,7.8602,3.31,220.048,249.3022
carbon → alpha,"['carbon', 'alpha']",2,212.1392,9.2322,4.35,197.0868,232.7802
